Description,Quantity,Part #,Unit price,Extended Price USD,Product Link
USB-A (USB TYPE-A) Receptacle Connector 4 Position Right Angle,20,AM90,0.0646,1.29,https://www.lcsc.com/product-detail/C404965.html
Polymeric PTC Resettable Fuse 12V 2A Surface Mount 1206,20,BSMD1206-200-12V,0.0612,1.22,https://www.lcsc.com/product-detail/C883135.html
18.6VC Clamp 9.4A@8/20us Ipp ESD DIODE SOD-523,20,ESD5Z5.0T1G,0.0387,0.77,https://www.lcsc.com/product-detail/C82044.html
220Ω@100MHz 1 Line Ferrite Bead 0805 2A 45mΩ,50,BLM21PG221SN1D,0.0167,0.84,https://www.lcsc.com/product-detail/C85840.html
"220uF ±20% 10V SMD,D6.3xL5.8mm 2000hrs",20,HV1A227M0605PZ,0.1242,2.48,https://www.lcsc.com/product-detail/C5246513.html
LCSC Shipping,,LCSC Shipping,13.16,13.16,https://www.lcsc.com/
LCSC Handling Fee,,LCSC Handling Fee,3,3,https://www.lcsc.com/
PCB,,PCB,6.1,6.1,https://jlcpcb.com/
PCBA,,PCBA,25.44,25.44,https://jlcpcb.com/
JLCPCB Shipping,,JLCPCB Shipping,8.53,8.53,https://jlcpcb.com/
,,,,,
,,Total:,,62.84,
